4651
b0001	189	254	254	1	1	0	0
b0002	336	2798	254	1	1	1	1
b0003	2800	3732	2798	1	1	2	2
b0004	3733	5019	3732	1	1	3	3
b0005	5233	5529	5019	1	1	4	4
b0006	5682	6458	5529	2	1	5	5
b0007	6528	7958	6458	2	1	6	6
b0008	8237	9190	7958	1	1	7	7
b0009	9305	9892	9190	1	1	8	8
b0010	9927	10493	9892	2	1	9	9
b0011	10642	11355	10493	2	1	10	10
b0012	10829	11314	11355	1	1	11	11
b0013	11381	11785	11355	2	1	12	12
b0014	12162	14078	11785	1	1	13	13
b0015	14167	15297	14078	1	1	14	14
b0016	15444	16556	15297	1	1	15	15
b4412	16750	16902	16556	2	1	16	17
b0018	16750	16959	16902	2	1	17	16
b4413	16951	17009	16959	1	1	18	18
b0019	17488	18654	17009	1	1	19	19
b0020	18714	19619	18654	1	1	20	20
b0021	19810	20313	19619	2	1	21	21
b0022	20232	20507	20313	2	1	22	22
b0023	20814	21077	20507	2	1	23	23
b0024	21180	21398	21077	1	1	24	24
b0025	21406	22347	21398	1	1	25	25
b0026	22390	25206	22347	1	1	26	26
b0027	25206	25700	25206	1	1	27	27
b0028	25825	26274	25700	1	1	28	28
b0029	26276	27226	26274	1	1	29	29
b0030	27292	28206	27226	1	1	30	30
b0031	28373	29194	28206	1	1	31	31
b0032	29650	30798	29194	1	1	32	32
b0033	30816	34037	30798	1	1	33	33
b0034	34299	34694	34037	1	1	34	34
b0035	34780	35370	34694	2	1	35	35
b0036	35376	36161	35370	2	1	36	36
b0037	36270	37823	36161	2	1	37	37
b0038	37897	39114	37823	2	1	38	38
b0039	39243	40385	39114	2	1	39	39
b0040	40416	41930	40385	2	1	40	40
b0041	42402	43172	41930	1	1	41	41
b0042	43187	44128	43172	1	1	42	42
b0043	44179	45465	44128	1	1	43	43
b0044	45462	45749	45465	1	1	44	44
b0045	45806	47137	45749	1	1	45	45
b0046	47245	47775	47137	1	1	46	46
b0047	47768	49630	47775	1	1	47	47
b0048	49822	50301	49630	1	1	48	48
b0049	50379	51221	50301	2	1	49	49
b0050	51228	51605	51221	2	1	50	50
b0051	51608	52429	51605	2	1	51	51
b0052	52426	53415	52429	2	1	52	52
b0053	53415	54701	53415	2	1	53	53
b0054	54754	57108	54701	2	1	54	54
b0055	57363	58178	57108	1	1	55	55
b0056	58473	59123	58178	1	1	56	56
b0057	59120	59278	59123	1	1	57	57
b0058	59686	60345	59278	2	1	58	58
b0059	60357	63263	60345	2	1	59	59
b0060	63428	65779	63263	2	1	60	60
b0061	65854	66549	65779	2	1	61	61
b0062	66834	68336	66549	2	1	62	62
b0063	68347	70047	68336	2	1	63	63
b0064	70386	71264	70047	1	1	64	64
b0065	71350	72114	71264	1	1	65	65
b0066	72228	72926	72114	2	1	66	66
b0067	72910	74520	72926	2	1	67	67
b0068	74496	75479	74520	2	1	68	68
b4762	75515	75607	75479	2	1	69	69
b0069	75643	77298	75607	2	1	70	70
b4577	77366	77592	77298	1	1	71	71
b4662	77387	77518	77592	1	1	72	72
b0070	77620	78798	77592	1	1	73	73
b0071	78847	79452	78798	2	1	74	74
b0072	79463	80863	79452	2	1	75	75
b0073	80866	81957	80863	2	1	76	76
b0074	81957	83528	81957	2	1	77	77
b0075	83621	83707	83528	2	1	78	78
b0076	84367	85311	83707	1	1	79	79
b4726	85466	85510	85311	2	1	80	80
b0077	85629	87353	85510	1	1	81	81
b0078	87356	87847	87353	1	1	82	82
b0080	88027	89031	87847	1	1	83	83
b0081	89633	90091	89031	1	1	84	84
b0082	90093	91034	90091	1	1	85	85
b0083	91031	91396	91034	1	1	86	86
b0084	91412	93178	91396	1	1	87	87
b4810	92484	92657	93178	1	1	88	88
b0085	93165	94652	93178	1	1	89	89
b0086	94649	96007	94652	1	1	90	90
b0087	96001	97083	96007	1	1	91	91
b0088	97086	98402	97083	1	1	92	92
b0089	98402	99646	98402	1	1	93	93
b0090	99643	100710	99646	1	1	94	94
b0091	100764	102239	100710	1	1	95	95
b0092	102232	103152	102239	1	1	96	96
b0093	103154	103984	103152	1	1	97	97
b0094	103981	105243	103984	1	1	98	98
b4840	104947	105498	105243	2	1	99	99
b0095	105304	106455	105498	1	1	100	100
b0096	106556	107473	106455	1	1	101	101
b0097	107704	108216	107473	1	1	102	102
b0098	108278	110983	108216	1	1	103	103
b0099	111043	111432	110983	1	1	104	104
b0101	111648	111845	111432	2	1	105	105
b0102	111855	112598	111845	2	1	106	106
b0103	112598	113218	112598	2	1	107	107
b4727	113243	113287	113218	1	1	108	108
b0104	113443	114486	113287	1	1	109	109
b0106	114521	115723	114486	2	1	110	110
b0107	115713	117098	115723	2	1	111	111
b0108	117108	117548	117098	2	1	112	112
b0109	117751	118644	117548	2	1	113	113
b0110	118732	119283	118644	1	1	114	114
b0111	119280	120134	119283	1	1	115	115
b0112	120177	121550	120134	2	1	116	116
b0113	122091	122855	121550	1	1	117	117
b0114	123016	125679	122855	1	1	118	118
